title,review,place,rating,travel_date,usr_code
NY Christmas 2019,"This is a must see show. We sat about 8 rows back from the stage, so the view was great. The show was magical and it combines Santa and the birth of Christ. I honestly can’t say enough good things about it.",Christmas Spectacular Starring the Radio City Rockettes,50,December 2019,Safari471953
Worth the Money,"My husband and I thoroughly enjoyed their performance.   The Rockettes were fabulous, but it wasn’t just dancing by the Rockettes. There were other performances that were great too. Everything about the dancing, singing, and set production was awesome and put us in the Christmas spirit.  This show is good for every age!",Christmas Spectacular Starring the Radio City Rockettes,50,December 2019,Mia416
Something a bit different!,"Very worthwhile going, lots of variety of food, drink, shopping or just to stop off at one of the cafe’s, there’s something for everyone. The prices vary between shops, but it’s a great place to pick up gifts. It can get quite busy and noisy, pretty much on any day so not for those who don’t like crowds! ",Chelsea Market,50,December 2019,SarcasticPingu
Chill out and Relax,"A nice place to chillax and restore the system after a nice amble on the High Line with plenty of cafes , bars and restaurants to choose from , plus many novelty shops.",Chelsea Market,40,November 2019,R G
Worth a jaunt ,One of the best neighborhoods we visited.,Greenwich Village,40,November 2019,DanTheGreat123
Well Worth a Visit,"This was at least my 5th visit to the museum but my first since they had their big reopening. I did think there were so great changes made but there are others I didn't care for. If you love art, this is definitely a must do for you on a visit to NYC.",The Museum of Modern Art,50,December 2019,Ashley28806
Beyond Architecture ,The Occulus is a giant mall and a subway hub that serves the Financial District.  There are many stores and even restaurants attaches to it.,The Oculus,50,December 2019,foodyholic
A magnificient architectural feat!,"The building is most unusual and very elegant, and highly symbolic. Inside it is less exciting, as it hosts... a shopping mall.",The Oculus,50,November 2019,Seasondtraveller
Beautiful Cathedral,"We arrived shortly before 1pm and after passing through security, we did get to partake in the final minutes of the Mass and then took some pictures before the next Mass started.  We skipped doing the $20 tour option and just explored the Cathedral on our own while enjoying the beauty of our spiritual surroundings.",St. Patrick's Cathedral,40,November 2019,Mary230C
Hard Hat Tour,We did the Hard Hat Tour. It was so cool. I highly recommend doing it. I would not have taken as much out of visiting without going on the tour. Seeing the hospital was so interesting. Our tour guide was very informative and knew the answer to every question anyone asked.  ,Ellis Island,50,December 2019,976paigef
Beautiful building,Main brunch is located in the middle of Manhattan in the beautiful Bryant Park.  Beaux Art style building . Free of charge to enter ,New York Public Library,50,December 2019,O6378WFannag
Moving,One of our goals when we came to New York was to visit ground zero and the 911 museum. The experience was both moving and inspiring. The worst of man kind being offset by the best. The ticketing could of been better with having to question up in one line even though we had purchased our explorer pass before we came. Overall a must for anyone coming to New York.,The National 9/11 Memorial & Museum,50,December 2019,Matt C
Very interesting !,"In my opinion it is annoying that you have to pay extra for guided tours, and other experiences on board. Considering the entrance fee is already US$ 33.00. With kids it will be quite an expensive excursion, if you want to do all extra excursions.","Intrepid Sea, Air & Space Museum",40,December 2019,Geert_AQP
Unique museum,"This the most unique form of museum that we have visited. We chose to include it on our New York City Pass and we are so glad we did! From the moment you walk down the road or turn the corner it’s a very intimidating large spectacle. There was no queue at all because of the time of year so we were in within seconds, we were advised that tours of Concorde would cost extra and told of the times these tours were, we didn’t bother with this as I have been in many Concordes and just wanted to see this one to tick it off my list of visiting the remaining Concordes. The Intrepid itself was brilliant, lots to see and very informative... I could have easily spent the whole day here if it wasn’t for the pesky flight back to the UK! My fiancé really wanted to see the Enterprise as it was a boyhood dream of his and it was brilliant, much larger than we were expecting! But it was breathtaking. We had some loaded fries next which were very well priced and delicious! (Highly recommended). For the last part we went to the Growler submarine which was brilliant (watch your head...), we weren’t rushed or crowded, the only other people we saw in there at the same time were volunteers, and that were superb! A lovely gentleman explained how the showers and toilets worked, how much time the crew had to wash and how the effecting did this in the timeframe, he was so knowledgeable, passionate about the topic and friendly, he was like a breath of fresh air as so many people just know information but don’t have the passion. We felt our few hours here were brilliant and we would LOVE to go back, if we had to pay for the tickets we feel it would have been well worth the price for us. The only downside was the merchandise, we were hoping that they would have had statues of Concorde, the Enterprise of the Black Bird but they didn’t, that was a shame.","Intrepid Sea, Air & Space Museum",50,January 2019,Pr1nc31
"Lights, cameras, action","It's abuzz with energy and shopping. I love being there. If crowds make you nervous, avoid this area!",Times Square,50,November 2019,Latechgrad
The annex on the fantail of the Intrepid Holds the Enterprise,"It is very cool how they brought in the Shuttle Enterprise and house it on the intrepid. The Enterprise was going to be called The Constitution, BUT the Trekkies got seriously involved.   The Enterprise never went into space, It is the Prototype. The one by which others were built. It does not have Landing gear and a windshield, & tiles. I believe it was dropped from a special 747 at about 60,000 ft for glide tests. It made many glide and landing tests. It was built with no engines or radar.  It supplied the information needed for the Shuttles to go into space.  Very cool to see this Behemoth. ","Intrepid Sea, Air & Space Museum",50,October 2019,scott m
Must see,"There is something about seeing time square lit up at night!!  It’s quite busy, but so many things to see ",Times Square,40,December 2019,jlhatch31
"Shopping New York style, with a trip to the top of the world .. and wheelchair accessible","The Rockefeller Centre is a high-class shopping mall, wheelchair accessible; and we managed to spend hundreds of dollars at the Lego store and other shops there... we also took the opportunity to go up to the top if the skyscraper over the Rockefeller Centre - the Top of the Rock - to see all Manhatten from the sky.",Rockefeller Center,50,November 2019,ericatwell
Busy and noisy but fun,Great to see and free if you can avoid the shops!  Great fun.,Times Square,40,November 2019,goldenlionCumbria
Christmas ,Love the turning on of the tree concert at the Rockefeller - starts Christmas off.   Missed pentatonix this year.  Enjoyed John Legend and Jon Bon Jovi ,Rockefeller Center,50,December 2019,FellowTraveler721112
Like Universeal Studio...ha ha ha,"Lively and easier walking path than 6th avenue to go across. Lots of stores and live charasters out and made me think of Universal Studio (but I suppose this one is the original...:) Lots of characters, I found out, were new form of business. They approach you, be friendly and take pictures, and ask for money afterwards. Just be aware before getting sucked in.",Broadway,40,December 2019,chieandover
Truly the city that never sleeps!,All these places are very easily accessible using the subway. $13 for 7 days unlimited ride in subway Good luck!,Broadway,50,December 2019,Nitha R
"A very long road, diagonal to the streets and avenues; and wheelchair-accessible","Of course we had to visit Broadway to see the lights and theatres around Times Square, and a show: - Disney's Aladdin  - but we didn't realize in advance that Broadway is actually a very long road, running diagonal to the New York grid of streets and avenues, and cutting across them. So it was in effect a short cut (on foot) from our hotel (Hotel @ New York, as we were visiting New York of course!) and Times Square ... with lots of other New York food outlets, and other shops.",Broadway,50,November 2019,ericatwell
Gotta go!,"Fun to see all the exceptional billboards and theatres where wonderful stories, music and dance are celebrated.",Broadway,50,November 2019,Michellechev
