title,usr_code,review,place,travel_date,rating
Recently renovated Frank Lloyd Wright Home,gaylem113,"This gem is located within the University of Chicago campus, offering tours and special events.  Besides the house, there are examples of Frank Lloyd Wright furniture.  Stop in to see a rare example of Wright's work.",Frank Lloyd Wright's Robie House,November 2019,50
Great quick stop,Zingbot,"We did not book a tour so we were only able to view the lobby, which is stunning. There are a few signs describing the history of the building. We spent maybe ten minutes looking at the ceiling and staircase. Well worth the stop. I'm looking forward to booking a tour sometime to see the rest.",The Rookery Building,September 2019,50
BEAUTIFUL OASIS...,ltbody,"...and it’s FREE... with a suggested donation of $10 per adult and $5 per child. Very tranquil, and meditative by the Koi pond. I spent a couple hours meandering around. Afterwards go to Inspiration Kitchens nearby for a yummy bite ;-) ",Garfield Park Conservatory,August 2019,50
"Free to stop in, though not much for understanding the space",Jenny_in_Palo_Alto,"Also, pro-tip, there's a Potbelly Sandwich shop that has a tremendous view of the Light Court, so you can have a cheap tasty sandwich while enjoying the architecture.",The Rookery Building,July 2019,50
A day in Chicago,Donna S,We enjoyed the Silver Screen display of gowns worn in the movies desigh8by Chanel and Valentino and a tour of Chicago Blues exhibit.,Chicago History Museum,August 2019,40
Great sound - be aware of being close to stage on floor,WaterboyGA,Heard from ALL the locals and drivers that the place is hell trying to catch a ride and fight traffic back.  We left with one song to go and were glad we did.,United Center,July 2019,40
In need of some major updating,mmjtr,"I bought a Groupon for the 4 of us. After visitng, I know now why they were offering a Groupon. Some of the exhibits are in great need of an update. We watched the film that was about Chicago's history. It was very hokey but the theater was pretty. The fashion exhibit was the best part. I was just expecting something more grand since Chicago is such a large city with a rich history. ",Chicago History Museum,July 2019,20
Way to travel,MukeshDave,Very convenient way of travelling in Chicago by public transport and runs across Chicago. Very fast and easy way to connect to airport,The Loop,May 2019,50
Amplified,869Sabrina,"I went specifically for amplified and it’s a really well done exhibit. It’s very interactive, enough that children were exploring which is important ",Chicago History Museum,June 2019,50
Late afternoon visit = no queues ,Fizzy101,We were lucky and didnt have any queues really the longest wait was about 10mins to step on the sky deck another visitor said they had waited over 2hrs the day before earlier in the day about lunch time we arrived after 4pm the sky deck area itself is quite small,Skydeck Chicago - Willis Tower,October 2019,40
Lots of Interesting facts about Chicago,matmul45,There were many interesting displays and artifacts of interest. I felt it was a bit pricey. Some of the interactive displays were not working.  I did learn a lot about the city and enjoyed seeing the fashions of the 40's and 50's by Chicago designers. There were also many artifacts from the fire and bygone days that were of interest.,Chicago History Museum,May 2019,30
Superb from the planetarium !,139nathaliep,If you visit the planetarium or the Field museum you will enjoy the best Chicago skyline view from far away. If you want to be immersed into Chicago river of buildings you can enjoy the architecture cruise on Navy Pier which is a must for architecture lovers ! Either way is top notch ! Chicago is beautiful !,Chicago Skyline,August 2019,50
Interesting,Go2theZoo,"We went on what we thought was a free day, but apparently we missed the part about that only being for Illinois residents. We decided to stay, as the cashier told us he could give a better price than what was listed. It was $14 for the adults and $12 for my daughter, a student rate. There were lots of interesting exhibits. We didn't know much about Chicago history except for the gangster stuff. We really enjoyed seeing the things connected to President Lincoln and the items that are made in Chicago. The music stuff was very interesting, as well as the train car from the World's Fair. The history of the city's beginnings was interesting to read. We enjoyed the couple of hours we spent here.",Chicago History Museum,April 2019,40
Good little snapshot of the city ,AnneENeill,"Compared to many attractions which are around the $25/$30 mark,  this place is a little cheaper at $19. I found it good value. It’s a meandering, exhibit based museum over two floors which captures all significant events in the city’s history. There was a good photographic/text display on Martin LK which was highly interesting. The best thing was a special exhibition on Hollywood fashions on main street which contained about 30 mannequins wearing beautiful gowns from the war/inter war era. It’ll delight any woman or man who loves that American Dream era. Took me 2 hours to get round, though I’d planned to spend only an hour or so, because I genuinely was enjoying it.",Chicago History Museum,April 2019,50
Super views from the river or Navy Pier,MIke23693,"The skyline is very attractive, especially as viewed from river cruise that go out to lake Locke or from the Navy Pier.",Chicago Skyline,July 2019,50
Wonderful Dog Park,CarolAnneRose,"GREAT DOG PARK! I can't thank the man that made this place a reality enough!!! Buddy Guy absolutely loves running, playing and socializing here. A much needed area for dogs on the South Side! Can't wait to see Jackson Bark grow with the pup families in the area!",Jackson Bark - Dog Park,April 2015,50
Come and see the Blue's Exhibit!,crunch6,Come and learn how the blues migrated up to Chicago and the famous musicians that created their music here.  This is also an excellent museum to learn about the history of Chicago.,Chicago History Museum,March 2019,50
Wonderful Visit,MajG406,Ihad the best time at this visit to a Chicago specific museum. The exhibits were well done and well thought out to be done. Highlty recommended. Bus 151 from Wrigley building.,Chicago History Museum,March 2019,50
Skyline,seemti,The skyline is so beautiful. It gives you a unique experience if you have the chance to watch it from Michigan lake. ,Chicago Skyline,July 2019,50
interesting concept,jeffrey k,"eventually, I hope this museum can move to a larger space.  I wanted more.....",American Writers Museum,November 2018,40
Walking tour,Rosemarie C,"Besides the exhibits, please make sure you do a walking tour that is offered with your admission to the museum. That really made the visit worth while. Check the schedule, there are a variety of walking tours offered.",Chicago History Museum,October 2018,40
Great day out at museum with a friend,Ranadhir S,Great museum to learn about American history. Got a free pass with BOFA museum days. Especially liked the Martin Luther King section.,Chicago History Museum,July 2018,50
Learning for the entire family,Deepti111,So many exhibits from so many times of our history. They have got Egyptians exhibits several times . They do several special events for their members. Rex has been here for a long time. So are the mummies,Chicago History Museum,June 2018,50
Impressive and Interactive ,RondaKansasCity,"The collections and displays are very interesting, impressive and educational. Visitors are encouraged to touch, and with good reason...much can be learned by turning compartments, pulling knobs and touching screens. Overall, this is a wonderful and fascinating place.",American Writers Museum,September 2018,50
It’s very proud of Chicago,Tim G,"Two floors of galleries, most interesting though a bit too gloomy on the lighting levels for my eyes, making captions rather difficult to read.  The content is good, and the pride in their city and people comes across in bucketsful.  As a railway enthusiast I was astonished to find the old Baldwin loco Pioneer, but there is so little information provided.  I had to read Wikipedia afterwards!  I was museumed-out after an hour and half, but there’s enough to see for a couple of hours.  Don’t miss it.",Chicago History Museum,January 2019,40
Very educatonal,Illinoisnow,"Very well put together displays about:Chicago Fire, Blues,the 'streamline' movement. My only complaint is that it is so dim you can't see the descriptions and WHY do so many museums make the printing so small?  I could not see many of them. ",Chicago History Museum,December 2018,40
Yes!,Richard L,"You must make this place a priority, to get a good idea of old Chicago. Excellent museum with lots of interactive items for kids.",Chicago History Museum,September 2018,50
"One of the original ""Skyscapers""",Ray S,"Built after the Chicago Fire of 1871, dating from around 1880, the interior is an excellent example of architecture and unparalled craftsmanship",The Rookery Building,November 2017,50
Major renovations underway,daviddclarke,"Robie House is in the middle of a major renovation. To make the tour more relevant I think They need to adjust their talking program & describe the tour as if you were a delivery person coming thru the service entrance to make a delivery. You definitely are not coming to the front door to be greeted and ushered in as a guest. The entrance, Foyer, billiard room, & the main staircase to the living room are all closed for extensive renovations. You enter the house thru the auto garage courtyard to visit the empty nursery  and end up going up the back servants staircase to arrive at a guest bedroom before then being shuffled into the empty dining room  & kitchen. The rest of the house feels very empty except for a few FLW designed chairs. most major rooms are closed. They house is a masterpiece but I'd say for the next few years go because with your entrance fee you are helping them with the enormous cost they need to raise for the renovations but I would also plan to go again after 2019 when I think they said they will have the house reopened. The coffee shop in a university building  right beside the front door of the house is a great place to eat before or after your tour.",Frank Lloyd Wright's Robie House,April 2018,30
"If you love literature, then you are in for a treat!",Kathy B,"We heard about this little gem of a museum through a librarian friend. It is nicely done and much thought went into each interactive display. The cost of admission was a little high but understandable. Out of our party of 4; one person finished in 36 minutes, one in 75 minutes, and 2 people took over 120 minutes. Two suggestions would be to have a handout of the books and authors displayed, and to have the books featured available to buy. Overall a great addition to the museums in Chicago.",American Writers Museum,September 2018,40
very interesting,francois b,"If you are no specialist , you learn a lot in a nice way .....If you are , you will have lot to think , approve or criticize !",American Writers Museum,August 2018,50
