review,travel_date,place,title,usr_code,rating
"You can walk right next to the scenic Mississippi River on the long paved trail. There are a fenced dog park and benches. It's an excellent place to exercise, have a picnic, and take photos.",October 2019,Mud Island River Park,Take a Walk by the River,Noel L,40
"This is not to rate the distillery, the rating I am giving is for service. As a business owner myself when I post hours of operation those are the hours you operate. We drove 2 1/2 hours to Memphis to go to Beale street have lunch and then go to the distillery. We knew the last tour was at 5pm and we were there at 4:20 to purchase tickets for the tour. We were told the 5 pm tour has booked for a private group. Again as a business owner you don’t book private tours during regular business hours. I see this as poor business and we won’t be back!!",July 2019,Old Dominick Distillery,Poor business ,twitch2661,10
I’m just sorry I probably won’t ever have the opportunity to attend another service but happy to take this special memory back home to the UK.,October 2017,Full Gospel Tabernacle,Wonderful experience.,Mike S,50
"We loved doing the tour of Old  Dominick's distillery. I am happy to be the proud owner of a bottle of the ""Memphis toddy"". A great story. This is the most western of the distilleries on the ""whiskey trail"". We got our booklet to get more stamps. And when you are slightly hammered after the tasting, you go next door  to their restaurant, (open after 4) or across the street to Gus' fried chicken. A perfect little outing.",May 2019,Old Dominick Distillery,Really worth the trip!,karbety,40
One artist in the main building of the museum fused together tiny pewter beads to resemble a Styrofoam cup. The cups were so incredibly realistic that we questioned whether they were real cups that were spray painted.,July 2018,Metal Museum,Amazing collection,Maggie A,50
The tour guide Kate (?) was fun and engaging!  It was interesting to learn about the history of this distillery and the tasting at the end gives you insight into the great variety of the products.,November 2018,Old Dominick Distillery,Fun Whiskey History Lesson,blondebass1622,50
"Our tour guide Kate was fabulous, informative, and spunky. Dominick is a very nice place with an interesting back story. Well stocked gift shop but on the expensive side. Tour took about 40 minutes and there are samples at the end. Very nice rooftop bar, can’t wait to go back at night. Memphis Toddy was our favorite and we took a bottle home. ",February 2019,Old Dominick Distillery,Memphis Toddy,phillipm20,40
"We took our 5 year old granddaughter to the Children's Museum - and she had a blast.  The hands on exhibits are terrific learning tools - and there is even an outside play area.  I thought it was a little pricey at $15 per person - but, quite frankly, we would take her again.",October 2017,The Children's Museum of Memphis,Great place for kids under 6 - but a little pricey!,frmrtvlagt,40
"While waiting outside of Gus‘s famous fried chicken old Dominick’s distillery is across the street so we stopped in to look around and maybe a quick drink. Rehab old machine building down to the bricks to create a chic modern distillery, Definitely fits in a neighborhood of revitalization of downtown Memphis, tried the bourbon but it had too much bite for me but I know some bourbon drinkers like that, so if you’re in Memphis looking for some time to kill  why not stop by and take a look, and try some of the bourbon, gin and, spirits they make,",September 2018,Old Dominick Distillery,OK bourbon,Explore650498,30
"Worth a visit, only small negative was the actual tasting was held in the bar, which was at that time quite noisy, having high ceilings which echoed the sound and at times it was difficult to hear what Kate was saying.",September 2018,Old Dominick Distillery,Interesting informative tour !!!,mrjunter,40
There was a lot of things to do.  The FedEx airplane was fascinating for both young and old. There was outside slash park and park. The kids really enjoyed it enough to back a few days later. The only down fall is they was no concession and we were not allowed to bring our own food.  ,July 2017,The Children's Museum of Memphis,Had a great time ,Amy O,50
