title,travel_date,rating,place,usr_code,review
Not really a public beach.,March 2019,20,Bal Harbour Beach,Brenda010,There is a nice walkway adjacent to the beach with very few seats....I don't think the residents wish to encourage visitors to hang around.
So so place,December 2019,10,Bayside Marketplace,Chew W,"Don't expect too much from this place! Expensive restaurants. Several stores try to sell tour, excursion, etc."
A little Rough,April 2018,30,Bal Harbour Beach,101CLUB,You have to find passages to the beach which is not an easy task.
Lovely and relaxing ,August 2019,50,Miami Beach Botanical Garden,jeanette_evans2,No cafe so take your own - was a drinks vendor 
This is not a beach. It's a paradise.,June 2017,50,Bal Harbour Beach,RITAFM,"Nature, sea birds, fish, fishermen, pier, what else?"
Poetry in Pyjamas,April 2019,50,Miami Beach Botanical Garden,Sue H,"Visited the botanical garden in the morning and found it v interesting. Lots of plants and trees ...obviously... but also fish and turtles in ponds. Lots of butterflies. Free entry. Came back in the evening for poetry event, Fun place"
Very beautiful calm beach,February 2017,50,Bal Harbour Beach,Tenq101,"Easy access o beach. Soft sand, not crowded, friendly people. We were there in February and it was quiet"
An Immigrant (Cuban & Others) Experience!,September 2019,50,Little Havana,Timzorrr,"Go, there are many good things to experience there!"
Wow,May 2016,50,Fisher Island,Claire S,We cruised around this Island and was told about all the celebrities that live there.  This place can only be accessed by boat or by helicopter check it out yourself. Great shops and restaurants.
Bad service,March 2019,10,Miami Trolley,GasperExplorer,"The free trolley service seems to be a great idea but in reality, it does not operate that well. There is a schedule but based on the frequency I can probably reach my destination at that time by walking instead. It also does not seem like they ride completely on schedule because we were waiting at the station at the time when it should have arrived but it did not. About 10 minutes later there was one that just drove past the station and on it it said out of service. That happened to us a couple of times and since we did not spend that many days in Miami we decided to walk or use other kinds of transportations to get where we wanted"
Great Zoo in Miami,March 2019,50,Zoological Wildlife Foundation,Greatswag,"After visiting the Everglades, I was so inspired about nature that I decided to spend rest of my day in Miami Zoo. This was a great choice because so many terrific animals in very nice surroundings and good restaurant to eat lunch."
Sometimes a little scary and over-crowded...,September 2018,30,Miami Trolley,mra82,"I love the convenience of this being a free means of transportation around the city on its different routes, but some of the characters (by no means not everyone) on here are a little...interesting.  I've also been on the Biscayne route several times where the trolley is so over-crowded that you have no room to move at all.  That's a safety concern I have about it, but thankfully I haven't experienced that too often, as the public buses and ride shares seem to be a more popular way of getting around."
Very nice and good organization!!!,December 2016,50,Art Basel,rfrontal,Great place to see the best art in town. good value for the price plus very god logistic in all Art Basel's vents. Will come back this year again.
