usr_code,title,review,rating,place,travel_date
JHughes50,Go to the visitor center worth paying to park. ,"We wanted to take a short hike while visiting Torrey Pines. I highly recommend paying the fee to park near the visitor center. Why hike up a hill to get to the trails and exhaust yourself before you start. I believe I would not pay, only if we wanted to go to the beach below. Parking is also scarce before you enter. At the visitor center they recommended a trail, as we wanted to spend only an hour or two. The center is informative as well; try to watch the short video. The views are spectacular, but be warned that it is very open and desert-like, with very few trees for shade. We thought pines would be all over, but Torrey pines like to be “alone” perse. ",50,Torrey Pines State Natural Reserve,November 2019
Bobolina2014,Wonderful Tour of an Amazing Structure,"We had a group tour and the docent was an experienced architect who brought the entire  facility to life for us. Louis Kahn's collaboration with Jonas Salk resulted in an impressively functional structure and workplace for world class scientists, and a strikingly beautiful complex set on the cliff above La Jolla bay. We most highly recommend seeing this.",50,Salk Institute,February 2019
sdbctb,Nice views,beautiful area with nice views. loved the views with the sailboats in the water below. visit old lighthouse and check out the gift shop. can even see mexico. ,50,Point Loma,August 2019
Dana S,Best Architecture in San Diego,"Beautiful architecture by Louis Kahn, beautiful to see, especially as close to sunset as you can visit, best in winter because you can see a sunset before they close the grounds to visitors at 5:30pm daily",50,Salk Institute,December 2017
Stephanie L,Wonderful views,The views were amazing.  I enjoyed the lighthouse. The tidal pools were not there the day we went but we still enjoyed the coastal trail.,50,Point Loma,August 2019
Ray T,Louis Kahn,"Stunning architectural masterpiece by one of America""s premier architects. Great views of the Pacific too.",40,Salk Institute,May 2018
Michael W,Its a bridge.,"So, we went over this bridge on the trolley bus tour. Its perhaps a 5 minute ride to Coronado. The views of SD are good although there is definitely no stopping. The road itself is a little disconcerting.... Its 2 lanes each way with a concrete dividing central reservation. And on the outside.... there is a line of concrete blocks.!",40,Coronado Bridge,September 2019
MarkR205,Interesting museum,I really found it interesting looking around San Diego Old Town even though it is all rebuilt due to fire. There is a good mix of museum type exhibits and shops. I would definitely recommend you visit this if you’re in the area.,40,Old Town San Diego State Historic Park,September 2019
Jamgrace,Stunningly beautiful ,Stop by!,50,San Diego Mormon Temple,August 2017
MeuterMedia,Great Beach,"Lots of restaurants, nice boardwalk, surf lessons, souvenirs shops and much more. recommended MeuterMedia",50,Pacific Beach,May 2019
2beans2000,"Coastal strolls, fabulous boutiques, fun dining, great coffee, stunning views, friendly people.","Come to La Jolla and enjoy the people, the coastal walks, our wonderful boutiques and small business restaurants.  Enjoy!",50,Girard Avenue and Prospect Street,January 2017
O3993SYtomc,Stunningly Beautiful,"Not really an attraction to visit, but a beautiful drive by or stop to walk around.  Very inspiring sights, beautiful grounds.",50,San Diego Mormon Temple,February 2017
2marcopolos,Nice beach to just sit and enjoy the ocean,Stopped at the beach on a bike tour. Hand a wonderful time watching some surfers out on the waves; also down on the beach were over 100 seals laying on the rocks.,50,Pacific Beach,May 2019
