review,travel_date,rating,place,usr_code,title
We spent most of our visit in the larger west wing. The American artist section and the impressionists were our favourite. The building itself is worth the visit alone. Staff were very knowledgable and helpful. The smaller east wing was interesting particularly the American artists section. Both museums are interconnected so you do not need to go through security twice. The connecting walkway is cool.,October 2019,50,Smithsonian American Art Museum,GarryUK,"Extensive collection of art from all periods, gorgeous building."
Best visted when dry (or a few days after heavy rains) when the paths aren't puddly or under water.  Nice circular walk or area to run.,October 2019,40,Tidal Basin,Kayakgirly,Lovely area to stretch your legs
"We joined an ordinary tour. They have it every 10 minutes with the capacity of 250 people each. So, do not miss it, not much of queuing. We were lucky with the guide, he was knowledgeable and fun. The Rotonda(underneath the dome) was the most impressive part.",December 2019,50,Capitol Hill,Ksksksksks,"Landmark, worth it, quick"
There is a lot to see and take in. I highly recommend going to this museum..,November 2019,50,National Museum of American History,Kim R,Very educational and well displayed !!
Bathed in scaffolding for roof repair Diminishes the beauty of this huge building to Thomas Jefferson. But still the walk around the Tidal Basin is lovely and the view back towards Washington is worth the time. ,November 2019,50,Jefferson Memorial,BT3rd,Under reconstruction 
"We visited in early August, and got very lucky with the weather.  Mild temperatures, low humidity and a nice breeze made for a very pleasant stroll around the Tidal Basin.  Nearby are various memorials, which were also very interesting to visit.",August 2019,50,Tidal Basin,jillh224,Nice place for a stroll
Went during the cherry blossoms. Could not have picked a better day. It was gorgeous. Packed full of people walking around.,April 2019,50,Tidal Basin,luvacationing,Gorgeous
Saw this a s a drive-by at night and during the day en route elsewhere. It is really beautiful and best seen by day to really take it in and during the cherry blossom bloom - amazing.,August 2019,40,Tidal Basin,fluffydogs,Tidal Basin
The WW2 Memorial is very nicely done.  We've seen it both during the day and at night; so can recommend that you see it at night when it's lit up.,November 2019,50,National World War II Memorial,Joe_from_Worcester,See this one at night!
The basilica was absolutely beautiful and well worth the visit. I would recommend going on a guided tour. Unfortunately we didn't make it there for Mass which I am sure must be a real treat. The crypt and the gift store are amazing. Could have spent much more time here.,September 2019,50,Basilica of the National Shrine of the Immaculate Conception,Aussiejack1,Absolutely breathtaking!
"Since it is a Shrine to the Virgin Mary, she is everywhere, in many different depictions.  Many are very beautiful.",September 2019,50,Basilica of the National Shrine of the Immaculate Conception,Lanxlad,"Impressive, even for an Episcopalian"
"Hillwood Gardens offers a very relaxing space to enjoy nature.  Beautiful flowers, relaxing ponds and lots of greenery.  Entry cost of $15/adult included audio tour of the gardens and mansion.  Personalized tours of the mansion are also available throughout the day. I opted for the audio tour.  While I enjoyed roaming the gardens and greenhouse, I found the suggested entry fee high.  I did not experience the cafe/food options on site.   ",August 2019,30,"Hillwood Estate, Museum & Gardens",KasHaley,Quaintness 
The grounds are beautiful and I suspect some visitors go there just for that.,August 2019,40,"Hillwood Estate, Museum & Gardens",MimiMcF,Magnificent museum and grounds
Today we went to the Tidal Basin and it was beautiful. The path around the lake has tons of monuments and they are all maintained well. The path was also in very good shape. I highly recommend this walk!,July 2019,50,Tidal Basin,FLWOOKIE,Beautiful Lake
"One of the most picturesque locations in DC, the basin is home to several important memorials, such as Jefferson, FDR, and MLK Jr. Plus, it is among the prime spots to partake in the cherry blossom festivities.",December 2018,50,Tidal Basin,IlyaNJ,Gorgeous
Wear comfortable shoes.,July 2019,30,Tidal Basin,AvWriter,Duck your head!
Don't take in more than 1-2 places per day or you will wear out.  Food trucks on the Capitol are aren't bad for food or price.  Archives and Smithsonian are a must.  ,October 2019,50,The National Archives Museum,Terry B,DC again because there is so much to see.
"Wonderful museum with amazing specimens, artifacts & collections. Hope Diamond is the ultimate thing to see there on level 2. The entry is free and make sure you have 3 to 4 hours time to enjoy all floors and collections.",September 2019,50,Smithsonian National Museum of Natural History,vamsi_delhi,Very interesting facts and collections
"This museum was the one thing I really wanted to see in DC and I was not disappointed. I really loved the bones exhibit with skeletons of all sorts of animals and drove my friend crazy with my prolonged interest and extended time spent reading the signs. The gems and minerals was also really neat and I loved seeing the Hope diamond which I’ve heard about! The birds of DC was really cool to me too, though the bottom level is a little confusing to navigate. ",October 2019,50,Smithsonian National Museum of Natural History,Bryce292,Must see in DC!
"Some very interesting exhibits - 1968 room, classic memorabilia, and contemporary sculpture and other art. Interesting information on the US presence in Viet  Nam.",April 2019,40,Smithsonian American Art Museum,MNKate2016,Integrated with Portrait Gallery.
The gardens are gorgeous especially the Japanese garden.  Slightly disappointed with the rose garden - no blooms.  Overall a really nice stop.,July 2019,50,"Hillwood Estate, Museum & Gardens",mommapitt,Pleasant Surprise
We enjoyed the short walk to the Jefferson Memorial by looking at all the Cherry Blossom trees.  They are beautiful and not expected in the middle of DC. ,March 2019,50,Tidal Basin,Dan C,Great view
"While the basin itself isn’t necessarily the defining attraction (unless you are paddle boating), you are able to see the monuments from different areas of the basin. Great photo opportunities with the right lighting. ",June 2019,40,Tidal Basin,TLBPsyD,Great views 
"I live in DC and often go for a walk at the Tidal Basin. It is always beautiful. During the beginning of April during the cherry blossoms season, this place is heavenly. Highly recommended",April 2019,50,Tidal Basin,Timothy S,Cherry Blossoms
We had a nice stroll alongside the tidal basin to get to the Jefferson Memorial. There are so many great sites to look at and the photo opportunities are a must.,March 2019,50,Tidal Basin,Jackie A,Amazing Views
"It was really cool to see the original Declaration of Independence and Constitution, but there was a lot of confusion. The staff kept telling us there was no line to see the documents, but it was obvious people were lining up to be able to see them up close. Then they stopped controlling the number of people who could go in the area to see those documents and it got really chaotic. It just seemed like it could have been better organized. ",October 2019,30,The National Archives Museum,allygator78,Very cool just not well organized
We took a boat over to Georgetown. Georgetown is a great place to spend the afternoon. Definitely a lot of stores to shop and restaurants and cafes to people watch and enjoy a great meal.,June 2019,50,Georgetown,tayrich99,Shopper's paradise
It's a lot of fun to walk around the old tree-lined streets.  Lots of shops and restaurants.  The Waterfront is also a fun place to visit.  ,August 2019,50,Georgetown,SDQesther,"It's fun and interesting.  You can even take a boat ride on the Potomac to and from Alexandria, Va.  Lots of shops."
"There is a free walking tour every so often.  If needing access, you can access the lower area via the bookstore entrance. There is also a foodcourt at the same level as the bookstore/gift shop",June 2019,50,Basilica of the National Shrine of the Immaculate Conception,jdjoann,Diverse and inclusive
"This is a great, well organized selection of American art. We favor American art and the gallery is the place to be.",April 2019,50,Smithsonian American Art Museum,Charles P,Nice gallery
"What a very cool tribute to great American. The all around feel of the monument, made it very emotional.",October 2019,50,"Martin Luther King, Jr. Memorial",Firemedic26,Cool
"However walking along the basin is dangerous, severely corroded and uneven walkway. A lot of garbage floating in the water. The basin was flooded prior to our visit and that flood took out the fountain pumps. ",April 2019,30,Tidal Basin,Manatee62,"On my bucket list, It was fantastic to be there"
"We visited Tidal Basin during Cherry Blossom week in April which is the best time to go. Great being there with all the trees in bloom, seeing Jefferson Memorial and walking up to Martin Luthier King memorial. ",April 2019,50,Tidal Basin,mcsc-squared,Cherry blossom week
Went at peak bloom. Fantastic and well worth the trip. Does get cold and windy though so bring the winter woolies...and allergy meds. LOL,April 2019,50,Tidal Basin,TeeJay2708,Cherry blossom spectacular
"Yes, it's too crowded & it's hard to read the documents. But, these are the real deal. Just to be able to lay you eyes on them is a blessing. For the details of the content, buy one of the many books in the ""shop"". Regardless, everyone who visits Washington DC should go through the hassle to see the objects therein.",October 2019,50,The National Archives Museum,coffdvm,An Important Stop
"Go for the documents, stay for everything in between. The Archives actually do so much more than house the Declaration of Independence, Bill of Rights and Constitution. It was really cool to learn about everything else that gets done here. Plus I got an awesome Benjamin Franklin mug for my daily cup of coffee!",August 2019,50,The National Archives Museum,anthonyjpow,Such a Cool Piece of History
"This was our most favorite spot to tour in Washington DC.  Where else could you see the original Constitution, Articles of Confederation and Declaration of Independence. Awesome!",September 2019,50,The National Archives Museum,Suzie G,National Archives Museum
The art museum is right next to the National Portrait Gallery so it is a ‘must’ to see if you are visiting the gallery. In addition to the rich collections of artwork the beautiful architecture of the museum itself is a jewel of the visit. The artwork encompasses a variety of old and contemporary artwork and sculptures. It is a very enjoyable tour to see all the beautiful artwork.,March 2019,50,Smithsonian American Art Museum,619stanleys,Great collections of artwork
"The museum has something for everyone. Research it ahead of time, so you know what you want to be sure to see because you can't see it all in  one visit.",March 2019,50,Smithsonian American Art Museum,froghop96,Must See
Both inspirational and impressive and just a brief walk from the war memorials so a tad ironic too.  Amazing how such a detailed sculpture was carved from such a massive piece of rock surrounded by some memorable quotes from MLK.,September 2019,50,"Martin Luther King, Jr. Memorial",Kevin1400,Hugely impressive
A warm weekend day and even with a lot of people around the basin seemed very serene and relaxing. Amazing. What a great way to get away from it all for a few minutes. We had fun.,April 2019,50,Tidal Basin,XSki007,Very Serene
The path around the tidal basin is flat and so beautiful during cherry blossom season. Nice way to see some of the monuments as well.,April 2019,50,Tidal Basin,Leigh M,Beautiful walk around the basin
"The Tidal Basin is always beautiful every season and all year round, but is best in the Cherry Blossom time (April of each year). It is a great area in the National Mall for joggers and walkers. The famous scence of the Tidal Basin is during the Cherry Blossom time.  A beautiful place to visit.",April 2019,40,Tidal Basin,Prawet J,Famous place for Cherry Blossom
"Be aware that photography is not allowed anywhere on site, but you are allowed to take cameras and phones inside. Impressive building from the outside too. ",September 2019,40,The National Archives Museum,chowso,Interesting slices of history
"I have been to DC many times and had never thought about coming to the National Archives Museum, but while we were on tour on a hop on and hop off bus, the tour guide highly recommended that we must see this Museum and it should not be missed by any DC visitors. So we made a trip there and the tour guide was right. We saw the actual Declaration of Independence and the US Constitution as well as many other historical documents via interactive displays So glad we made a stop there.",September 2019,50,The National Archives Museum,Sandy P,Finally made it here!
"this is a lovely part of DC to wander around, nice mix of chain shops and independents. Lots of cute side streets to walk on. Dont forget to walk down to the waterfront.",June 2019,40,Georgetown,susan2909,pretty area to wander around
"My visit here was pleasant , but not as good as I expected.  There was not as much directly related to the Lincoln assasination as I thought there would be.  You first go through their museum.  It is devoted to the entire Civil War period--not specifically the assasination.  You then go into the theatre.  You can see the Presidential box to your right--but that is as close as you get.  Someone in period costume then comes on stage and talks to you about Lincoln.  But, again, the talk is not centered on the assasination that occurred there.  ",June 2019,30,Georgetown,Robert H,Not as good as I expected
"A few all look the same, including the hotel (it was a post office years ago).  The art work is really something to see.  I think this is more of a ‘grown up’ museum if anything.  The atrium was a pleasant surprise to see, really nice.  Expensive gift shop, lots of democratic stuff if one is interested. (Displays of the last President’s books for sale, etc) ",December 2018,40,Smithsonian American Art Museum,danidb518,Cold Looking on Outside Beautiful Inside
well it is less people but I guess you have to have an eye for art some of the exhibits were not so interesting to me but not over crowded and some were good pieces .           also its free so enjoy it is worth checking out so for 1 to 2 hours its a good activity,February 2019,30,Smithsonian American Art Museum,bobbydis40,just fine
"Away from the bustle and crowds of the Smithsonian museums on the Mall is Hillwood Estates, the home of Marjorie Merriwether Post.  Tucked away in a quiet DC neighborhood, Hillwood is a stately mansion filled with artistic treasures collected by Post over the years.  It is set in acres of beautifully kept gardens, which during my visit last week were full of colorful spring blooms.  Hillwood is well worth a visit.  You'll be swept away by its beauty and serenity.",April 2019,50,"Hillwood Estate, Museum & Gardens",msmaramba3,A Hidden Jewel
"If you're lucky enough to visit when the cherry blossoms are in bloom, that's the time to visit, but if not, DC is a beautiful place to visit anyway! The old architecture is beautiful!",April 2019,50,Tidal Basin,Sebago129,Beautiful place to visit when cherry blossoms are in bloom
"Definitely the best place to see the cherry blossoms during the Festival.  Take an afternoon, stroll around the Tidal Basin and stop at the memorials along the way.",April 2019,50,Tidal Basin,Elphaba63,A beautiful stroll.
"You dont often see a historic mill in the centre of Washington DC but that is what Pierce Mill is. One of the many mills that used to be along Rock Creek, it is the only one left that has been restored and is open to the public. As well as the mill house itself there are a number of other buildings associated with the mill and of course the lovely views of Rock Creek itself.",November 2016,40,Peirce Mill,MelB776,You dont often see a historic mill in the centre of Washington DC
"We had an excellent tour with a very knowledgeable guide who greeted us at the door and asked if we wanted the guided tour or look on our own.  Definitely take the guided tour!  Learned really interesting facts about the mill, it's history and history of the area.  There is parking nearby or you can access it if you're walking through the park.  There's a dog water bowl outside the door and the guide had a box of dog biscuits.  There are 4 levels with narrow steps so not for those with small children or who need handicap accessibility except for the entry floor,  The guide really made the difference for us answering many questions and explaining the process.",December 2016,40,Peirce Mill,GBruz,Take the guided tour
"Restored historic mill in a nice setting along Rock Creek. Visit on weekends in the warmer months to get inside. It was originally restored back in the 1930s; you can do a self guided tour and read signage explaining the history, but there were several docents there to explain the different equipment and steps in the milling process. You can explore several levels of the building, but it's a pretty quick stop. Shouldn't be on the top of your DC ""to do"" list, but a nice change of pace for locals or more in depth trips. And it's free!",March 2018,40,Peirce Mill,ZachF247,Nice historic site in Rock Creek Park
Walked over from a Metro stop. Timed it for the free tour. The volunteer was knowledgeable and friendly. Great tour filled with good information ,March 2019,50,Basilica of the National Shrine of the Immaculate Conception,markbG4305FY,Hour long tour went by fast
"Just walking down the streets of Georgetown you feel like you are in a small New England town and not the heart of Washington DC. There is a plethora of restaurants, great shops and worth the trip.",June 2019,50,Georgetown,cszostak,Tourist trap but oh so nice
what wonderful scenic visit; great places to see and eat; most relaxing and enjoyable; historic places and fun shopping ,July 2018,50,Georgetown,ngsab,very ecclectic
"Of all the monuments the Smithsonian is definitely worth visiting, especially if one is traveling with children.",August 2018,40,Smithsonian American Art Museum,MM085,Definitely worth a visit
"I prefer more classic art, but there were some really neat pieces in this museum. It is right next to the portait museum so be sure to stop there as well. The objects with shadows and the neon US map were my favorite.",October 2018,40,Smithsonian American Art Museum,Whitney S,"Some very intersesting pieces, like the neon United States."
"One of many homes of cereal heiress Margery Merryweather Post, Hillwood needs several visits to be fully experienced. But a docent tour about an hour long, supplemented by your own wandering around the house, whatever special exhibits are on plus visiting the magnificent grounds (especially the Japanese garden) will consume the better part of your day. Lots of onsite parking is a plus but Uber makes it even easier to come and leave in awe of the insights and style of the mistress of the house.",February 2019,50,"Hillwood Estate, Museum & Gardens",Cate B,An Elegant Look at a Lush Lifestyle
"A must see! Even for just the non-seasonal views. It's a lovely walk around the cherry blossom trees and great views of several of the memorials. I suggest a walk around the whole basin. It only takes a little while but has several stops (FDR, MLKjr Memorials).",April 2019,50,Tidal Basin,mel260,Gorgeous When The Cherry Blossoms are in Bloom
"The Tidal Basin is an embarassment for the National Park Service.  The sea wall is crumbling, and the area around it floods at high tide.  Some of the cherry trees' roots are exposed and so are subject to drying out and potentially dying.  You'd think the NPS would be addressing this, since it's obvious this hasn't happened recently!",April 2019,40,Tidal Basin,SabreSailor,"Sadly, This Needs a LOT of Work"
"A must see. Full of history with lots to see. The security is everywhere to prevent photography but they were also great at answering questions. We spoke to one employee, Ricardo Williams. He has an amazing personality and was such a pleasure to speak with. ",August 2019,50,The National Archives Museum,Melissa_W_TN,A must see
"Absolutely INCREDIBLE to stand in front of the Declaration of Independence and the Constitution.  Worth any line you may stand in to see it.  There is much else to see and learn inside.  If you are in town on the 4th of July, there is a wonderful reading of the Declaration in the morning on the steps of the National Archives.  I highly recommend it.  No visit to DC is complete without a trip to National Archives.",July 2019,50,The National Archives Museum,Dina F,"YES, you MUST go see this"
"By the way DO NOT take your phone out in most parts of the building, as the guards get worked up. AND, DO NOT say ""I'm going to do it. I'm going to steal The Declaration of Independence!""  ;)",July 2019,50,The National Archives Museum,Jeff B,"If you visit Washington, visit the Archives"
"We visited the National Archives Museum on 7/5/19.    It was crowded because of the 4th of July holiday, but it was worth the wait.   Very informative  and interesting.",July 2019,50,The National Archives Museum,Rhpsld,"Crowded, but worth it"
"We were sitting around admiring the Limescooters when we saw the line get shortened at the National Archives and decided to check it out. Keep at least two hours to listen to the tapes and read the wall mounted detailed pics etc. Well worth it. They do not allow photographs but we saw plenty of American School children on tour taking photos and at times when noticed by the security staff, putting them away. Rotunda takes 15-30m to go around. They take in about 30 people at a time.",July 2019,50,The National Archives Museum,Vatsala D,Pleasant surprise.
Both the temporary exhibits as well as the permanent installations were just terrific. It also includes the Presidential Portrait display. You could spend two or three days here visiting every room.,October 2018,50,Smithsonian American Art Museum,Lms48,Terrific Museum
I enjoyed the art here but I felt like it was much to spread out. My favorite part of the museum was the gift shops.,October 2018,40,Smithsonian American Art Museum,jcoletravel,Great gift shop 
"An awesome place to visit, especially if you're into art and collectables of every sort from Russia and/or France.  Beautiful grounds and gardens.  Café, and visitor center also on site. Be sure to see the film before touring the house. The docents are very knowledgeable about the lives of the people who lived there and the estate's furnishings. The guided tour lasts an hour, but you'll also need at least 30 more minutes to check out other articles, paintings, or read a few labeled things that you didn't have time for on the tour. An hour for the gardens is also recommended, plus you'll need time for the greenhouse & gift shop. It's also helpful to read the book ""American Empresses- the Life & Times of Marjorie Merriweather Post"" by Nancy Rubin Stuart before visiting the estate.",December 2018,50,"Hillwood Estate, Museum & Gardens",Critiqueness,An awesome place to visit
"From the inlaid floors, to the art on the walls, and elegant chandeliers hanging from the ceilings, this was a treasure find.",November 2018,50,"Hillwood Estate, Museum & Gardens",Lois S,A Surprise Gem
"Hillwood Estate is located off of Rock Creek Park in the heart of the city. It was the home of Marjory Merriweather Post. I live in the area and had never visited this beautiful place. There is an informative video and the lovely home is full of her Russian and French collections. Post was in Russia as the ambassador's wife after the revolution and was able to rescue art and artifacts the Bolsheviks were getting rid of. The gardens are fabulous and the docent tour is full of modern day connections. For example, her daughter was actress Dina Merrill. Well worth a 2+ hour visit and the entrance fee (15$ for seniors).",December 2018,50,"Hillwood Estate, Museum & Gardens",Susan V,"Beauty, history, and nature in the heart of DC"
"We arrive at the museum, eager to view the Declaration of Independence, Constitution, Bill of Rights. GO through security, mobbed. You go to the 2ND floor and there is no organization of the crowd. People were pushing their way into the various spots throughout the line. It would be a good idea if you move the ropes inside thr roo. and have people entet from one direction...left to right...or limit the amount of people allowed in.WHEN U FINALLY PUSH YOURSELF IN TO VIEW THE DECLARATION THE ROOM IS SO DARK, THE GLASS DIRTY AND YOU CAN'T READ IT BECAUSE IT IS COMPLETELY FADED.",May 2019,20,The National Archives Museum,Joan L,DISAPPOINTMENT
"This museum has a great display of the Declaration of Independence, Magna Carta, Articles of Confederation, and the Constitution. It is neat to see the actual pages that changed history.",July 2019,50,The National Archives Museum,Kim B,National Archives
"My son wanted to see the constitution.  Just that.  We got it no problem, found it at the rotunda, got to gaze at it as much as we wanted, enjoyed the gift shop, and left.  Staff really polite.  Great super quick visit with my curious 10 year old.  Thanks!",July 2019,50,The National Archives Museum,CaliforniaMomOfTwo,Great 15 minute with my kiddo
"However, it is a must do and seeing those documents is emotional. Just be prepared and tread lightly. ",July 2019,30,The National Archives Museum,OKStateGuy,Rude
